qpcr_plate,qpcr_date,well,swab_id,bird_ID,band_number,dppi,cq_value,quantity,log10_quantity,extraction_plate,extraction_date,extr_neg_cntrls,cq8,cq7,cq6,cq5,cq4,cq3,cq2,cq1,qpcr_neg_cntrls,slope,efficiency,r2,y_inter,error
2,20230614,E6,2892 PID 9,9_2892,2892,9,31.56663232,139.2597196,2.146932966,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,E7,2850 PID 9,9_2850,2850,9,22.2117223,78004.0567,4.892122757,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,E8,2904 PID 9,9_2904,2904,9,21.24795964,149710.4177,5.175254923,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,E9,2920 PID 14,14_2920,2920,14,NA,0,0,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,E10,2874 PID 14,14_2874,2874,14,NA,0,0,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,E11,2623 PID 14,14_2623,2623,14,NA,0,0,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,E12,2903 PID 14,14_2903,2903,14,23.58550092,30798.3602,4.488541695,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,F5,2687 PID 9,9_2687,2687,9,30.63742252,261.1015143,2.41846953,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,F6,2889 PID 9,9_2889,2889,9,20.71653532,214473.7827,5.331376236,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,F7,2741 PID 9,9_2741,2741,9,20.92554349,186196.5602,5.269973986,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,F8,2581 PID 9,9_2581,2581,9,21.3558064,139177.4035,5.14357185,1,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,F9,2869 PID 14,14_2869,2869,14,NA,0,0,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,F10,2907 PID 14,14_2907,2907,14,NA,0,0,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
2,20230614,F11,2653 PID 14,14_2653,2653,14,21.10069636,165392.2395,5.218517754,2,20230509,pos,NA,13.13391939,16.31627453,19.85285991,23.28994124,26.62230322,30.0905077,NA,neg,-3.4039,96.68747088,0.999559892,38.864,0.017856573
